Samp,Reads,Status,Group
Konzo01,5652615,raw,Kinshasa Control
Konzo02,4171786,raw,Kinshasa Control
Konzo03,3932877,raw,Kinshasa Control
Konzo04,4026977,raw,Kinshasa Control
Konzo05,3931100,raw,Kinshasa Control
Konzo06,4216140,raw,Kinshasa Control
Konzo07,4936002,raw,Kinshasa Control
Konzo08,2342886,raw,Kinshasa Control
Konzo09,6703810,raw,Kinshasa Control
Konzo10,5740012,raw,Kinshasa Control
Konzo11,3798249,raw,Kinshasa Control
Konzo12,2522215,raw,Kinshasa Control
Konzo13,5356239,raw,Kinshasa Control
Konzo14,5635783,raw,Kinshasa Control
Konzo15,6595993,raw,Kinshasa Control
Konzo16,5638133,raw,Kinshasa Control
Konzo17,5788326,raw,Kinshasa Control
Konzo18,5483872,raw,Kinshasa Control
Konzo19,6522938,raw,Kinshasa Control
Konzo20,5680953,raw,Kinshasa Control
Konzo21,7261833,raw,Kinshasa Control
Konzo22,6896118,raw,Kinshasa Control
Konzo23,6832098,raw,Kinshasa Control
Konzo24,6858453,raw,Kinshasa Control
Konzo25,5859588,raw,Kinshasa Control
Konzo26,6097964,raw,Kinshasa Control
Konzo27,5952161,raw,Kinshasa Control
Konzo28,6450422,raw,Kinshasa Control
Konzo29,3728661,raw,Kinshasa Control
Konzo30,4324274,raw,Kinshasa Control
Konzo31,4476914,raw,Kahemba Control
Konzo32,5329398,raw,Kahemba Control
Konzo33,6921429,raw,Kahemba Control
Konzo34,6693296,raw,Kahemba Control
Konzo35,6408734,raw,Kahemba Control
Konzo36,6234464,raw,Kahemba Control
Konzo37,6367642,raw,Kahemba Control
Konzo38,5718666,raw,Kahemba Control
Konzo39,4727305,raw,Kahemba Control
Konzo40,6103250,raw,Kahemba Control
Konzo41,7812842,raw,Kahemba Control
Konzo42,4818243,raw,Kahemba Control
Konzo43,7222520,raw,Kahemba Control
Konzo44,5985083,raw,Kahemba Control
Konzo45,5312897,raw,Kahemba Control
Konzo46,6030002,raw,Kahemba Control
Konzo47,6200631,raw,Kahemba Control
Konzo48,6046989,raw,Kahemba Control
Konzo49,6419220,raw,Kahemba Control
Konzo50,4951506,raw,Kahemba Control
Konzo51,8507727,raw,Kahemba Control
